REGION;VILLE;site Name;SITES ID;Noms Routeurs;Classification
SAVANES;CINKASSE;CINKASSE;SAV-010;CINK-SRA4-01;URBAN
SAVANES;CINKASSE;CINKASSE-BOUSSONGA;SAV-011;CIN2-PE-SR2s-01;URBAN
SAVANES;CINKASSE;CINKASSE-BOUSSONGA;SAV-011;CIN2-IXR-R6-01;URBAN
SAVANES;CINKASSE;CINKASSE-BOUSSONGA;SAV-011;CIN2-CORE-SR2s-01;URBAN
SAVANES;DAPAONG;DAPAONG;SAV-002;DAPA-SRa4-02;URBAN
SAVANES;DAPAONG;NASSABLE;SAV-007;NASB-IXR-R6-01;URBAN
SAVANES;MANGO;NANGBENI;SAV-037;NAGBE-IXRec-01;URBAN
SAVANES;MANGO;MANGO-DOUANE;SAV-046;MANG2-SRa4-01;URBAN
SAVANES;MANGO;MANGO;SAV-045;MANG-PE-SR2s-01;URBAN
SAVANES;MANGO;SABIEBOU;SAV-053;SAGBIE-IXRec-01;SUBURBAN
SAVANES;KOUMONGOU;KOUMONGOU;SAV-051;KOUMG-IXRe-01;SUBURBAN
SAVANES;MANGO;NALI;SAV-057;NALI-IXRe-01;SUBURBAN
KARA;NABOULGOU;NABOULGOU;KAR-050;NABL-IXRec-01;SUBURBAN
KARA;GUERINKOUKA;GUERINKOUKA2;KAR-055;KOUK2-IXRe-01;SUBURBAN
KARA;GUERINKOUKA;GUERINKOUKA;KAR-054 ;GKOK-SAST-01;SUBURBAN
KARA;NIAMTOUGOU;NIAMTOUGOU;KAR-030 ;NIAM-SRa4-02;SUBURBAN
KARA;KARA;KARA;KAR-013;KARA-IXR-R6-01;URBAN
KARA;KARA CENTRAL;KARA CENTRAL;KAR-COM ;KCOM-IXR-R6-01;URBAN
KARA;BASSAR;KABOU;KAR-080;KABO-SRa4-02;SUBURBAN
KARA;BASSAR;BASSAR;KAR-071;BASS1-SRa4-02;SUBURBAN
KARA;KANTE;KANTE;KAR-040 ;KANT-SRa4-02;SUBURBAN
CENTRALE;SOKODE;AKAMADE;CEN-001 ;AKAM-IXR-R6-01;SUBURBAN
CENTRALE;SOKODE;SOKODE;CEN-001;SOK6-PE-01;URBAN
CENTRALE;SOKODE;SOKODE;CEN-012;SOK5-IXR-R6-01;URBAN
CENTRALE;SOTOUBOUA;SOTOUBOUA;CEN-030;SOTO-SRa4-01;SUBURBAN
CENTRALE;SOTOUBOUA;SOTOUBOUA;CEN-030;SOTO-SRa4-02;SUBURBAN
CENTRALE;SOTOUBOUA;SOTOUBOUA;CEN-031 ;SOTO2-SARM-01;SUBURBAN
CENTRALE;BLITTA GARE;BLITTA GARE;CEN-065 ;BLIT-SRa4-02;SUBURBAN
CENTRALE;BLITTA;BLITTA;CEN-065 ;CEN-065_BLIT-IXR-R6-01;SUBURBAN
PLATEAUX;LANGABOU;LANGABOU;CEN-062;LANG-SRa4-01;SUBURBAN
PLATEAUX;ANIE1;ANIE1;PLA-083;ANIE1-SRa4-01;SUBURBAN
PLATEAUX;ANIE MISSION;ANIE MISSION;PLA-084;ANIE1-SRa4-02;SUBURBAN
PLATEAUX;ATAKPAME;ATAKPAME RE;PLA-002; ATAP-PE-01;SUBURBAN
PLATEAUX;AGBONOU2;AGBONOU2;PLA-002 ;AGB2-IXR-R6-01;SUBURBAN
PLATEAUX;GLEI;GLEI;PLA-124;GLEI-SRa4-01;SUBURBAN
PLATEAUX;NOTSE;NOTSE;PLA-053;NOTS-SRa4-01;SUBURBAN
PLATEAUX;ADETA;ADETA;PLA-061;ADETA-SRa4-01;SUBURBAN
PLATEAUX;KPALIME KPODJI;KPALIME KPODJI;PLA-019;KPAL_KP-IXR-R6-01;SUBURBAN
PLATEAUX;KPALIME ;KPALIME ;PLA-015;KPAL-SRa4-01;SUBURBAN
MARITIME;KEVE;KEVE;MAR-057;KEVE-SRa4-01;SUBURBAN
MARITIME;TSEVIE KPALI;TSEVIE KPALI;MAR-010;TSEVKP-IXR-R6-01;SUBURBAN
MARITIME;TSEVIE ;TSEVIE;MAR-008;TSEV-IXR-R6-01;URBAN
MARITIME;ANEHO;ANEHO;MAR-013;ANEH1-PE-SR2s-01;SUBURBAN
LOME;LOME;CACAVELI NEW;LOM-155;CACN-SR2s-PE-01;LOME
LOME;LOME;CACAVELI NEW;LOM-155;CACN-SR2s-PE-02;LOME
LOME;LOME;LOME CENTRE;LOM-155;LOME-SR2s-PE-01;LOME
LOME;LOME;LOME CENTRE;LOM-155;LOME-SR2s-PE-02;LOME
LOME;LOME;PORT;LOM-194;PORT-PE-SR2s-01;LOME
LOME;LOME;PORT;LOM-194;PORT-PE-SR2s-02;LOME
LOME;LOME;AVEPOZO;LOM-200;AVEP-IXR-R6-01;LOME
LOME;LOME;AFIDENYIGBAN;LOM-197;AFID-IXR-R6-01;LOME
